Time,Resistivity_1,Resistivity_2,Resistivity_3,Thickness_1,Thickness_2,dBdt_t1,dBdt_t2,dBdt_t3,dBdt_t4,dBdt_t5,dBdt_t6,dBdt_t7,dBdt_t8,dBdt_t9,dBdt_t10,dBdt_t11,dBdt_t12,dBdt_t13,dBdt_t14,dBdt_t15,dBdt_t16,dBdt_t17,dBdt_t18,dBdt_t19,dBdt_t20,dBdt_t21,dBdt_t22,dBdt_t23,dBdt_t24,dBdt_t25,dBdt_t26,dBdt_t27,dBdt_t28,dBdt_t29,dBdt_t30,dBdt_t31
1e-05,100.72823421024137,23.5857396281977,5.7438800767842775,47.816965228393805,96.38209054245422,1.9833043185129313e-09,1.557670078881225e-09,1.2087189238372388e-09,9.315262807171771e-10,7.17576591283485e-10,5.872431733751082e-10,4.971112984067648e-10,3.9202524737583436e-10,3.2197032341453225e-10,2.5082157598984377e-10,2.0370420100166935e-10,1.6121078598991647e-10,1.2754639608161261e-10,1.0127404816994121e-10,8.043722487079239e-11,6.349555392908206e-11,5.0468324641449236e-11,3.979873092267154e-11,3.1180888927125626e-11,2.4296561969133683e-11,1.875634652624097e-11,1.5790383751356313e-11,1.2739668659240958e-11,9.922693928112587e-12,7.72940787222339e-12,5.913006370082987e-12,4.408170256048221e-12,3.2745969841125105e-12,2.4395481515766145e-12,1.8215618334756125e-12,1.3565093706638892e-12
1e-05,94.67273624151653,15.126195927948388,4.524042971466611,45.29108655534449,109.19726249049913,1.990126270587577e-09,1.5575079726183536e-09,1.2018097850302837e-09,9.190540818907003e-10,7.014014903306271e-10,5.702279456254594e-10,4.808454441293178e-10,3.766330984214897e-10,3.083613779247108e-10,2.394451254633535e-10,1.947417479330094e-10,1.547398393067665e-10,1.2343223553364025e-10,9.91985996436399e-11,8.002475212430546e-11,6.438965507471143e-11,5.225624438798472e-11,4.220229900775472e-11,3.395806482220627e-11,2.7247024295600227e-11,2.1721725948162822e-11,1.8591178074429187e-11,1.5330721164571305e-11,1.2266907746883694e-11,9.782440714725276e-12,7.663736517810032e-12,5.848177429835864e-12,4.423485321944644e-12,3.333590936835362e-12,2.501265008873876e-12,1.8596865424742443e-12
1e-05,104.42207659821358,21.038246442696764,9.739890071776903,55.38190875857124,96.89881878084726,2.0389516410902337e-09,1.609102601488352e-09,1.2519040241018225e-09,9.634789138551935e-10,7.371121705018361e-10,5.97636151933135e-10,5.009785055792387e-10,3.882839637110855e-10,3.140740090312154e-10,2.3902725215380027e-10,1.9069691362961035e-10,1.4779277504908383e-10,1.1479153125644133e-10,8.988664295791789e-11,7.075026061639996e-11,5.559949356079771e-11,4.422500388514003e-11,3.503341245031706e-11,2.7673218475306303e-11,2.181443560417181e-11,1.7094139905259862e-11,1.4525721307436432e-11,1.1872848042661093e-11,9.40452916463557e-12,7.447879566503364e-12,5.801890239171012e-12,4.412001923338812e-12,3.337128702089313e-12,2.5226332569407465e-12,1.902932959146275e-12,1.4244593396552124e-12
1e-05,112.14160480804324,20.689824031935757,6.91019568058578,57.76323461237687,93.71965267656164,1.977033555388473e-09,1.5495339693984207e-09,1.1969707741287436e-09,9.149551579368369e-10,6.959839993131065e-10,5.627681964722492e-10,4.714426758484017e-10,3.649649361578138e-10,2.9533918957802735e-10,2.2510258806501642e-10,1.8006866544179045e-10,1.4010710435896775e-10,1.0935668347175488e-10,8.607896549265976e-11,6.810018712948694e-11,5.377570061874569e-11,4.293271672251695e-11,3.410855644408448e-11,2.699128197323406e-11,2.1286895525412335e-11,1.6665020198465124e-11,1.4141793094419077e-11,1.1534901697995002e-11,9.111780225282787e-12,7.1954202255297544e-12,5.588474322705988e-12,4.237017666802942e-12,3.1982626525436455e-12,2.4165272434729565e-12,1.8257369998332396e-12,1.3723066119739579e-12
1e-05,89.31476270479351,22.58828765410769,3.1467405710217227,47.85113273464246,118.51072012278318,2.083356507988718e-09,1.6522698457092385e-09,1.2939725878802587e-09,1.0048584355619951e-09,7.780422471733118e-10,6.376211480808803e-10,5.39396533811949e-10,4.2487504148546957e-10,3.481885080906981e-10,2.701847323986246e-10,2.1856644475097703e-10,1.721102037677853e-10,1.354759422827731e-10,1.070777337858051e-10,8.471937822793816e-11,6.66637550393153e-11,5.287219423914962e-11,4.162041032822971e-11,3.255168981661076e-11,2.530571187317449e-11,1.94611732549122e-11,1.6323833509683737e-11,1.3095863617576104e-11,1.0120335501521425e-11,7.813134343211828e-12,5.91519427643474e-12,4.356950884402245e-12,3.2008826319426108e-12,2.3647318765246207e-12,1.757178717386069e-12,1.3073476296307224e-12
1e-05,87.23652121223093,22.7923448751236,5.955646047482625,49.30077634168244,100.05351614779393,2.1763349207083657e-09,1.7459475953179871e-09,1.3826890693211042e-09,1.0833596322562092e-09,8.426099257401565e-10,6.894493173690362e-10,5.801875729444987e-10,4.5279773162190183e-10,3.670456136237355e-10,2.7966377988460513e-10,2.223534912214688e-10,1.7123780637686042e-10,1.3169459988096344e-10,1.0186494952915195e-10,7.909045836980035e-11,6.124727759745713e-11,4.805654742871776e-11,3.7541126556653084e-11,2.923368916034974e-11,2.270282499544723e-11,1.750158421922675e-11,1.4740703090562083e-11,1.190471996055823e-11,9.287629752989219e-12,7.25296134098349e-12,5.567371948706342e-12,4.16985283198251e-12,3.1146194553874503e-12,2.3341815747925947e-12,1.7535754193374098e-12,1.3139640629562367e-12
1e-05,91.35050828118642,21.69718796966447,1.0130877030311847,59.8285872652011,110.9822553493635,2.1879202913225153e-09,1.7630800646929996e-09,1.4039323709429813e-09,1.1062541981042415e-09,8.642818494322625e-10,7.077092212059195e-10,5.942462576644774e-10,4.619581544709698e-10,3.7205616703088746e-10,2.8014922923007196e-10,2.197474976996086e-10,1.660449108356669e-10,1.2486531435604348e-10,9.433575090561284e-11,7.15807735777169e-11,5.4233159608091653e-11,4.1815938141724485e-11,3.213668305999058e-11,2.461156087585406e-11,1.8738536661529894e-11,1.4066304870643778e-11,1.1622659375468739e-11,9.123872849248533e-12,6.848448646831258e-12,5.136225668117356e-12,3.7696437095903964e-12,2.6915219823102116e-12,1.940112757319745e-12,1.4355391130828441e-12,1.0947264344512886e-12,8.560878611887303e-13
1e-05,113.57289324113967,17.146010586746726,3.4129565653844987,52.09727041624925,97.2877328216468,1.95220052174993e-09,1.5235280768037997e-09,1.1708789850606906e-09,8.899293009685123e-10,6.730149979714333e-10,5.42197583869727e-10,4.533290055720043e-10,3.4971585032231313e-10,2.825507621817751e-10,2.1500663391436295e-10,1.7211579793634996e-10,1.3419042036445646e-10,1.0516834485591593e-10,8.327848132731387e-11,6.638500376328074e-11,5.28992566495832e-11,4.2635130476130363e-11,3.422228010302468e-11,2.737023812731792e-11,2.1808141083232034e-11,1.723241254374411e-11,1.4662623244759192e-11,1.199257330995543e-11,9.498057300702982e-12,7.501764817983481e-12,5.820812359997799e-12,4.401990404097006e-12,3.3114683804914195e-12,2.4943429566301193e-12,1.881090793292116e-12,1.414155793718352e-12
1e-05,118.69799091850325,21.997450904374485,7.646635598797043,45.96039856639836,114.20787526067562,1.8131151776144989e-09,1.401442910706146e-09,1.0716364243531323e-09,8.163810029204626e-10,6.245385792692139e-10,5.106264523350325e-10,4.3323255848408936e-10,3.4299790307989276e-10,2.83207422475325e-10,2.2261109488268075e-10,1.823698548584758e-10,1.459290147546457e-10,1.1680605212274585e-10,9.379707300654319e-11,7.530207952150254e-11,6.006922247720523e-11,4.819111352283302e-11,3.836176038077713e-11,3.0346603903947614e-11,2.3888091465562372e-11,1.8648026152113777e-11,1.5793658549926295e-11,1.28464402567356e-11,1.0109717781969537e-11,7.950400681661969e-12,6.143525387834266e-12,4.627946297720077e-12,3.4677641111522018e-12,2.5991495842583406e-12,1.9466987654728062e-12,1.449361796129508e-12
1e-05,104.7022654547488,23.656442781976136,3.856577623304834,53.976454890201055,108.6062636046034,2.044042925182075e-09,1.6154229310054246e-09,1.2592102650041205e-09,9.713784524736565e-10,7.451368682610187e-10,6.052805460096989e-10,5.079788035169953e-10,3.945333006848622e-10,3.19497116099518e-10,2.4349694499464853e-10,1.9428194620181925e-10,1.5049257974448503e-10,1.1668091091752443e-10,9.107897284497982e-11,7.13610855254768e-11,5.572805136087012e-11,4.3980246980572145e-11,3.4480840818979246e-11,2.686991387483317e-11,2.0814775607384084e-11,1.595449871799752e-11,1.3380653992431534e-11,1.0740629560118968e-11,8.314777839914476e-12,6.4481733743857416e-12,4.916751332070316e-12,3.662012429093553e-12,2.7293239280928564e-12,2.04946319932837e-12,1.5491425807259014e-12,1.1727707288893676e-12
