im_height,neurons,kern_sz,enable_dropout,dp_coeff,batch_size,epochs,learning_rate,epoch,train_loss,val_loss,test_loss,train_mae,val_mae,test_mae,train_r2,test_r2
40,8,5,True,0.05,32,200,0.0005,1,0.626187264919281,0.5640526413917542,0.519610925311943,0.5309396982192993,0.55942702293396,0.5476799197058702,0.4380482261536113,0.30115352539930274
40,8,5,True,0.05,32,200,0.0005,2,0.4848192632198334,0.5356175303459167,0.5000469161665161,0.4368189573287964,0.5564271807670593,0.546777852324353,,
40,8,5,True,0.05,32,200,0.0005,3,0.4262707531452179,0.44596460461616516,0.408287487039212,0.4069482684135437,0.4623461365699768,0.4539978085652755,,
40,8,5,True,0.05,32,200,0.0005,4,0.3767005503177643,0.37952330708503723,0.3633278983825285,0.38143008947372437,0.43948599696159363,0.431944298353637,,
40,8,5,True,0.05,32,200,0.0005,5,0.33873963356018066,0.38877183198928833,0.38504479868656794,0.35702475905418396,0.4586191177368164,0.45829098582037464,,
40,8,5,True,0.05,32,200,0.0005,6,0.3126703202724457,0.359649658203125,0.36667174773406397,0.3425337076187134,0.4173077940940857,0.4221521660512329,,
40,8,5,True,0.05,32,200,0.0005,7,0.30521249771118164,0.34199821949005127,0.30255841095652736,0.3342697322368622,0.39583897590637207,0.3829641178860686,,
40,8,5,True,0.05,32,200,0.0005,8,0.2980341613292694,0.3206733763217926,0.31193510468919755,0.33073127269744873,0.3991129398345947,0.3955526466640339,,
40,8,5,True,0.05,32,200,0.0005,9,0.2810562252998352,0.28132346272468567,0.2623010160196,0.32191622257232666,0.3318694233894348,0.32761156651035933,,
40,8,5,True,0.05,32,200,0.0005,10,0.2738995850086212,0.34816285967826843,0.3293459366387845,0.3163011074066162,0.4239715039730072,0.42453981712439814,0.6546258131511918,0.5570488695827487
40,8,5,True,0.05,32,200,0.0005,11,0.2683336138725281,0.2938833236694336,0.28369281334874474,0.3090936839580536,0.3751643896102905,0.3739332333041038,,
40,8,5,True,0.05,32,200,0.0005,12,0.2579256594181061,0.29868173599243164,0.26488850688189525,0.30446723103523254,0.3791259229183197,0.3711729892444279,,
40,8,5,True,0.05,32,200,0.0005,13,0.2527073919773102,0.3428345024585724,0.3184789532386394,0.3041627109050751,0.4250459671020508,0.4237413390272251,,
40,8,5,True,0.05,32,200,0.0005,14,0.24991454184055328,0.24457073211669922,0.22631625230510374,0.3000637888908386,0.31716886162757874,0.3110140542565636,,
40,8,5,True,0.05,32,200,0.0005,15,0.2422124296426773,0.3288167715072632,0.2976722746573555,0.29371872544288635,0.41203784942626953,0.41222565995517196,,
40,8,5,True,0.05,32,200,0.0005,16,0.23731867969036102,0.30016547441482544,0.26768787194795746,0.2892037630081177,0.37464097142219543,0.3759669956105044,,
40,8,5,True,0.05,32,200,0.0005,17,0.23042155802249908,0.24233150482177734,0.2034079668409828,0.28527942299842834,0.3089030981063843,0.2976986511634394,,
40,8,5,True,0.05,32,200,0.0005,18,0.23166698217391968,0.26065337657928467,0.22621912036080302,0.2848861813545227,0.33607879281044006,0.3323955365073198,,
40,8,5,True,0.05,32,200,0.0005,19,0.22980980575084686,0.359201043844223,0.34214702015452564,0.28237950801849365,0.41940930485725403,0.4217732776247132,,
40,8,5,True,0.05,32,200,0.0005,20,0.23521830141544342,0.23273257911205292,0.20175970810443658,0.285620778799057,0.3080614507198334,0.3021450381611445,0.778221576435407,0.7286449267004848
40,8,5,True,0.05,32,200,0.0005,21,0.22313587367534637,0.3150100111961365,0.29076670091827445,0.27778398990631104,0.3935510516166687,0.3943036882866772,,
40,8,5,True,0.05,32,200,0.0005,22,0.22324509918689728,0.34822359681129456,0.3348501749799358,0.2767779529094696,0.43148985505104065,0.4384573240842427,,
40,8,5,True,0.05,32,200,0.0005,23,0.2232842594385147,0.22888217866420746,0.20347912771663568,0.27753308415412903,0.30026575922966003,0.29695984623173366,,
40,8,5,True,0.05,32,200,0.0005,24,0.22145028412342072,0.2345709651708603,0.22115305196199178,0.27381524443626404,0.3218570053577423,0.32489852042188466,,
40,8,5,True,0.05,32,200,0.0005,25,0.22010618448257446,0.32755959033966064,0.30371247288952635,0.2746390700340271,0.40988126397132874,0.41420282991302404,,
40,8,5,True,0.05,32,200,0.0005,26,0.21332807838916779,0.24690118432044983,0.21453349906283417,0.2712569236755371,0.31052470207214355,0.30418257020905604,,
40,8,5,True,0.05,32,200,0.0005,27,0.21079613268375397,0.25020739436149597,0.2220936895600763,0.26660194993019104,0.32341268658638,0.3227044807314926,,
40,8,5,True,0.05,32,200,0.0005,28,0.21133007109165192,0.2591223418712616,0.23445110787811752,0.2686578631401062,0.33632680773735046,0.33977921993537974,,
40,8,5,True,0.05,32,200,0.0005,29,0.213033527135849,0.2355172038078308,0.21260861377081489,0.26731982827186584,0.30886343121528625,0.3083684025794896,,
40,8,5,True,0.05,32,200,0.0005,30,0.20631209015846252,0.24569126963615417,0.21465893166000796,0.26393261551856995,0.31357482075691223,0.311460102205908,0.7671881771501714,0.7112962212215044
40,8,5,True,0.05,32,200,0.0005,31,0.21344342827796936,0.2657291889190674,0.2533810497616927,0.2658650279045105,0.34091708064079285,0.34188518443279803,,
40,8,5,True,0.05,32,200,0.0005,32,0.20631881058216095,0.27802228927612305,0.2538344594702605,0.26196154952049255,0.37196704745292664,0.3742055945360256,,
40,8,5,True,0.05,32,200,0.0005,33,0.2051829844713211,0.31261783838272095,0.28707344982003086,0.2630749046802521,0.4036601781845093,0.4065588580342021,,
40,8,5,True,0.05,32,200,0.0005,34,0.20335088670253754,0.3208196461200714,0.29862682408014724,0.2582896649837494,0.3843269646167755,0.3895463233849194,,
