Time,dB/dt
3.12843E-05, 1.6940088022878687e-8
3.96397E-05, 9.460271806598614e-9
4.91574E-05, 5.1385829729432026e-9
6.22863E-05, 2.568257435970688e-9
7.72415E-05, 1.3197203930613743e-9
9.57874E-05, 6.972258717575121e-10
0.00012137, 3.4847263129172697e-10
0.000153786, 1.7906555296923828e-10
0.00019071, 8.704804787452385e-11
0.000241645, 4.1158338186664867e-11
0.000299665, 1.8410273525621594e-11
0.000379699, 8.466635113189027e-12
0.000470866, 3.68353720078807e-12
0.000596624, 1.7416619158620683e-12
0.000739876, 8.704804787452385e-13
0.000917523, 5.138582972943202e-13
0.001162574, 3.118716540493042e-13
0.001441712, 2.0008052545562066e-13
0.001787872, 1.3568446309589612e-13
0.002314653, 8.949674265472497e-14
0.00287041, 6.415476458273776e-14
0.003559606, 4.23161379345089e-14
0.004414279, 2.6405034969821797e-14
0.005593241, 2.0008052545562146e-14
0.006936198, 1.2484913627071811e-14
0.008788712, 7.370040586690031e-15
